年度,校名,系組名,國倍率,英倍率,數A倍率,數B倍率,社會倍率,自然倍率,數甲倍率,物倍率,化倍率,生倍率,歷倍率,地倍率,公倍率,錄取人數,普通生錄取分數
111.0,國立臺灣師範大學,地理學系,1.0,1.25,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.5,0.0,23.0,266.75
111.0,國立臺灣師範大學,臺灣語文學系,1.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,1.0,1.5,7.0,293.5
111.0,國立臺灣師範大學,數學系,0.0,1.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,31.0,135
111.0,國立臺灣師範大學,物理學系,1.0,1.25,0.0,0.0,0.0,0.0,1.5,1.5,1.0,0.0,0.0,0.0,0.0,19.0,223.5
111.0,國立臺灣師範大學,化學系,1.0,1.25,0.0,0.0,0.0,0.0,1.0,1.5,1.75,0.0,0.0,0.0,0.0,44.0,241.75
111.0,國立臺灣師範大學,生命科學系,1.0,1.25,0.0,0.0,0.0,0.0,1.0,0.0,1.25,1.5,0.0,0.0,0.0,25.0,235.75
111.0,國立臺灣師範大學,地球科學系,0.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,10.0,209
111.0,國立臺灣師範大學,資訊工程學系,1.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,15.0,211
111.0,國立臺灣師範大學,營養科學學士學位學程,1.0,1.5,0.0,0.0,0.0,0.0,1.0,0.0,1.5,1.5,0.0,0.0,0.0,22.0,236.5
111.0,國立臺灣師範大學,工業教育學系,1.0,1.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,0.0,2.0,139.5
111.0,國立臺灣師範大學,科技應用與人力資源發展學系,1.0,1.25,0.0,1.25,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,13.0,211.5
111.0,國立臺灣師範大學,圖文傳播學系,1.25,1.25,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,20.0,182
111.0,國立臺灣師範大學,機電工程學系,1.0,1.5,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,16.0,273
,,,,,,,,,,,,,,,,,
111.0,國立臺灣師範大學,電機工程學系,1.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,1.0,0.0,0.0,0.0,0.0,21.0,327
111.0,國立臺灣師範大學,車輛與能源工程學士學位學程,1.0,1.0,0.0,0.0,0.0,0.0,1.5,1.5,0.0,0.0,0.0,0.0,0.0,4.0,179.5
111.0,國立臺灣師範大學,光電工程學士學位學程,1.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,1.5,0.0,0.0,0.0,0.0,14.0,273
111.0,國立臺灣師範大學,華語文教學系應用華語文學組,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,12.0,230
111.0,國立臺灣師範大學,東亞學系,1.5,2.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,10.0,292
111.0,國立臺灣師範大學,企業管理學系,1.5,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,15.0,302.5
111.0,國立臺灣師範大學,設計學系產品設計組,1.0,1.25,0.0,0.0,0.0,0.0,1.25,1.25,0.0,0.0,0.0,0.0,0.0,7.0,168.75
111.0,國立臺灣師範大學,音樂學系,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,249.98
111.0,國立臺灣師範大學,表演藝術學士學位學程,1.75,1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.0,221.75
111.0,國立臺灣師範大學,設計學系視覺設計組,1.5,1.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,306.03
111.0,國立臺灣師範大學,美術學系繪畫組,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,239.02
